"Date","specimen","timepoint_mo","Condition","CD45_count","Tcells_count","Vd2_pos","Vd2_neg","Va7.2_pos","Va7.2_neg","CD4_pos","CD8_pos"
"2025-08-28","INF0207",0,"PPD",790680,38724,0.03,0.97,0.01,0.96,0.65,0.25
"2025-08-28","INF0207",4,"PPD",640947,172564,0.01,0.99,0.02,0.97,0.4,0.5
"2025-08-28","INF0207",9,"PPD",702179,365357,0.01,0.99,0.02,0.98,0.68,0.26
"2025-08-28","INF0166",0,"SEB",1006028,328840,0,1,0.01,0.99,0.82,0.14
"2025-08-28","INF0166",4,"SEB",511111,201010,0.01,0.99,0,0.99,0.64,0.29
"2025-08-28","INF0166",9,"SEB",703382,351974,0.01,0.99,0,0.99,0.68,0.26
"2025-08-28","INF0199",0,"SEB",1024741,136480,0.01,0.99,0.01,0.98,0.53,0.38
"2025-08-28","INF0199",4,"SEB",621032,200002,0.02,0.98,0,0.98,0.24,0.58
"2025-08-28","INF0199",9,"SEB",240956,132098,0,1,0.01,0.99,0.32,0.55
"2025-08-28","INF0207",0,"SEB",801074,36036,0.02,0.98,0.01,0.97,0.42,0.39
"2025-08-28","INF0207",4,"SEB",523880,156863,0.01,0.99,0.01,0.98,0.41,0.5
"2025-08-28","INF0207",9,"SEB",446958,221304,0.01,0.99,0.01,0.98,0.68,0.26
"2025-08-30","INF0614",0,"Ctrl",1569007,224396,0,1,0.02,0.98,0.54,0.38
"2025-08-30","INF0614",4,"Ctrl",666232,163115,0.01,0.99,0.02,0.97,0.34,0.53
"2025-08-30","INF0614",9,"Ctrl",648783,126360,0.02,0.98,0.02,0.96,0.27,0.58
"2025-08-30","INF0622",0,"Ctrl",939307,161924,0.01,0.99,0.02,0.97,0.67,0.2
"2025-08-30","INF0622",9,"Ctrl",570580,291052,0,1,0.02,0.98,0.72,0.2
"2025-08-30","INF0627",9,"Ctrl",608173,191328,0,1,0.02,0.97,0.71,0.23
"2025-08-30","INF0614",0,"PPD",1360009,195461,0.01,0.99,0.02,0.98,0.53,0.39
"2025-08-30","INF0614",4,"PPD",688585,194236,0.01,0.99,0.02,0.97,0.34,0.53
"2025-08-30","INF0614",9,"PPD",760542,113124,0.02,0.98,0.02,0.96,0.26,0.58
"2025-08-30","INF0622",0,"PPD",809182,162742,0.01,0.99,0.01,0.97,0.67,0.2
"2025-08-30","INF0622",4,"PPD",455133,285674,0,1,0.02,0.98,0.72,0.2
"2025-08-30","INF0622",9,"PPD",579322,291251,0,1,0.02,0.98,0.72,0.2
"2025-08-30","INF0627",4,"PPD",798574,227988,0,1,0.02,0.98,0.8,0.15
"2025-08-30","INF0627",9,"PPD",564577,194169,0,1,0.02,0.98,0.71,0.23
"2025-08-30","INF0614",0,"SEB",1569343,188308,0.01,0.99,0.01,0.98,0.51,0.4
"2025-08-30","INF0622",0,"SEB",852899,160599,0.01,0.99,0.01,0.98,0.66,0.2
"2025-08-30","INF0622",9,"SEB",373954,189766,0,1,0.01,0.98,0.72,0.21
"2025-08-30","INF0627",9,"SEB",411254,134506,0,1,0.01,0.99,0.69,0.26
